"frame","timestamp","nose_x","nose_y","nose_z","nose_confidence","left_eye_inner_x","left_eye_inner_y","left_eye_inner_z","left_eye_inner_confidence","left_eye_x","left_eye_y","left_eye_z","left_eye_confidence","left_eye_outer_x","left_eye_outer_y","left_eye_outer_z","left_eye_outer_confidence","right_eye_inner_x","right_eye_inner_y","right_eye_inner_z","right_eye_inner_confidence","right_eye_x","right_eye_y","right_eye_z","right_eye_confidence","right_eye_outer_x","right_eye_outer_y","right_eye_outer_z","right_eye_outer_confidence","left_ear_x","left_ear_y","left_ear_z","left_ear_confidence","right_ear_x","right_ear_y","right_ear_z","right_ear_confidence","mouth_left_x","mouth_left_y","mouth_left_z","mouth_left_confidence","mouth_right_x","mouth_right_y","mouth_right_z","mouth_right_confidence","left_shoulder_x","left_shoulder_y","left_shoulder_z","left_shoulder_confidence","right_shoulder_x","right_shoulder_y","right_shoulder_z","right_shoulder_confidence","left_elbow_x","left_elbow_y","left_elbow_z","left_elbow_confidence","right_elbow_x","right_elbow_y","right_elbow_z","right_elbow_confidence","left_wrist_x","left_wrist_y","left_wrist_z","left_wrist_confidence","right_wrist_x","right_wrist_y","right_wrist_z","right_wrist_confidence","left_pinky_x","left_pinky_y","left_pinky_z","left_pinky_confidence","right_pinky_x","right_pinky_y","right_pinky_z","right_pinky_confidence","left_index_x","left_index_y","left_index_z","left_index_confidence","right_index_x","right_index_y","right_index_z","right_index_confidence","left_thumb_x","left_thumb_y","left_thumb_z","left_thumb_confidence","right_thumb_x","right_thumb_y","right_thumb_z","right_thumb_confidence","left_hip_x","left_hip_y","left_hip_z","left_hip_confidence","right_hip_x","right_hip_y","right_hip_z","right_hip_confidence","left_knee_x","left_knee_y","left_knee_z","left_knee_confidence","right_knee_x","right_knee_y","right_knee_z","right_knee_confidence","left_ankle_x","left_ankle_y","left_ankle_z","left_ankle_confidence","right_ankle_x","right_ankle_y","right_ankle_z","right_ankle_confidence","left_heel_x","left_heel_y","left_heel_z","left_heel_confidence","right_heel_x","right_heel_y","right_heel_z","right_heel_confidence","left_foot_index_x","left_foot_index_y","left_foot_index_z","left_foot_index_confidence","right_foot_index_x","right_foot_index_y","right_foot_index_z","right_foot_index_confidence"
"81","2.7000","0.50492","0.20626","0.00234","0.9777","0.49103","0.20069","-0.00169","0.9238","0.48234","0.19807","0.00145","0.9789","0.47762","0.20116","-0.00258","0.9438","0.51087","0.19963","0.00900","0.9558","0.52519","0.19718","0.00778","0.9324","0.52739","0.19942","0.00562","0.9534","0.47144","0.20761","0.01112","0.9806","0.53655","0.20830","0.01737","0.9321","0.49468","0.23382","0.00268","0.9287","0.51267","0.23742","0.00549","0.9577","0.43277","0.33494","-0.00331","0.9370","0.57210","0.33235","0.00473","0.9564","0.42313","0.45176","-0.04272","0.9683","0.58259","0.45211","-0.03761","0.9504","0.42893","0.55086","-0.06987","0.9521","0.57052","0.54941","-0.06264","0.9339","0.42418","0.57142","-0.07657","0.9847","0.57914","0.57178","-0.06964","0.9305","0.41974","0.56618","-0.07503","0.9697","0.58453","0.56548","-0.06627","0.9032","0.43696","0.56481","-0.07127","0.9366","0.56921","0.56752","-0.05978","0.9891","0.46277","0.55892","-0.00361","0.9835","0.54456","0.55796","0.00415","0.9620","0.45955","0.72018","-0.02171","0.9518","0.54313","0.71795","-0.01405","0.9585","0.46327","0.91920","0.00282","0.9517","0.54424","0.91948","0.00994","0.9489","0.45892","0.93777","0.01845","0.9711","0.54153","0.93727","0.02337","0.9544","0.46135","0.95027","-0.02773","0.9580","0.54233","0.95085","-0.01703","0.9254"
"82","2.7333","0.50383","0.20236","0.00779","0.9766","0.48911","0.19306","0.00043","0.9339","0.48059","0.18880","0.00255","0.9787","0.47814","0.19179","0.00189","0.9559","0.51465","0.19758","0.00618","0.9635","0.52235","0.19393","0.01255","0.9462","0.52806","0.19491","0.01260","0.9363","0.47190","0.20317","0.01111","0.9613","0.53173","0.20570","0.01740","0.9379","0.49353","0.22803","0.00708","0.9510","0.51288","0.23015","0.00333","0.9700","0.43415","0.32372","0.00092","0.9412","0.57274","0.32263","0.00907","0.9562","0.42446","0.44852","-0.03818","0.9755","0.58268","0.44810","-0.03249","0.9254","0.43390","0.54859","-0.06501","0.9356","0.57251","0.54728","-0.06041","0.9415","0.42245","0.56656","-0.07029","0.9341","0.58213","0.56719","-0.06418","0.9178","0.41810","0.56482","-0.06760","0.9490","0.58657","0.56237","-0.06392","0.9349","0.43237","0.56061","-0.06440","0.9863","0.56915","0.56482","-0.05615","0.9004","0.46162","0.54997","-0.00313","0.9817","0.54460","0.55050","0.00360","0.9538","0.46135","0.71637","-0.01585","0.9578","0.54437","0.72045","-0.01182","0.9753","0.46242","0.91802","0.00281","0.9671","0.54206","0.91794","0.00781","0.9365","0.46134","0.93821","0.01677","0.9502","0.54409","0.94039","0.02658","0.9475","0.46371","0.95116","-0.01994","0.9770","0.54266","0.94857","-0.01788","0.9322"
"83","2.7667","0.50393","0.19711","0.00796","0.9592","0.49013","0.18852","0.00384","0.9904","0.48389","0.18414","0.00476","0.9837","0.47756","0.18815","0.00477","0.9701","0.51463","0.18784","0.01181","0.9193","0.52077","0.18411","0.00891","0.9284","0.52571","0.18867","0.01134","0.9550","0.46856","0.19665","0.01359","0.9698","0.53782","0.19587","0.01836","0.9297","0.49040","0.22404","0.00849","0.9544","0.51418","0.22295","0.00572","0.9284","0.43075","0.31765","0.00250","0.9658","0.57103","0.31839","0.01033","0.9315","0.42521","0.44190","-0.03279","0.9617","0.58167","0.44320","-0.02478","0.9284","0.43276","0.54613","-0.06062","0.9720","0.57331","0.54918","-0.05091","0.9491","0.42284","0.57032","-0.06565","0.9424","0.58131","0.57042","-0.05507","0.9415","0.42157","0.55915","-0.06364","0.9669","0.58379","0.56427","-0.05548","0.9566","0.43543","0.56079","-0.05938","0.9321","0.56739","0.55771","-0.05226","0.9608","0.46252","0.54329","-0.00220","0.9410","0.54465","0.53884","0.00461","0.9447","0.46070","0.71923","-0.01403","0.9379","0.54145","0.71782","-0.00739","0.9488","0.46316","0.92012","-0.00046","0.9419","0.54132","0.91841","0.00664","0.9657","0.46236","0.93845","0.01360","0.9440","0.54234","0.94059","0.01869","0.9433","0.46460","0.94899","-0.02532","0.9551","0.54171","0.95120","-0.01915","0.9658"
"84","2.8000","0.50138","0.19212","0.00782","0.9463","0.48934","0.18181","0.00373","0.9522","0.48563","0.18124","0.00275","0.9590","0.47780","0.18129","0.00427","0.9668","0.51449","0.18057","0.01429","0.9509","0.51936","0.17883","0.01122","0.9838","0.52572","0.18118","0.01172","0.9111","0.47405","0.19109","0.01399","0.9950","0.53199","0.18857","0.02109","0.9349","0.49225","0.21627","0.01146","0.9824","0.51396","0.21568","0.01015","0.9950","0.42983","0.31146","0.00170","0.9901","0.57103","0.31518","0.00972","0.9311","0.42052","0.43823","-0.02972","0.9903","0.58162","0.43660","-0.02476","0.9365","0.43315","0.54519","-0.05392","0.9735","0.57202","0.54661","-0.04682","0.9306","0.42460","0.56322","-0.05869","0.9842","0.57990","0.56202","-0.05384","0.9260","0.41779","0.56076","-0.05685","0.9802","0.58384","0.56016","-0.05375","0.9478","0.43216","0.55998","-0.05626","0.9631","0.57093","0.56033","-0.04976","0.9481","0.45866","0.53527","0.00062","0.9786","0.54149","0.53436","0.00535","0.9451","0.46242","0.71762","-0.01214","0.9602","0.54295","0.72050","-0.00179","0.9450","0.46247","0.92111","0.00267","0.9615","0.54332","0.92081","0.00925","0.9464","0.46484","0.93829","0.01806","0.9424","0.54031","0.93920","0.02354","0.9636","0.46160","0.94526","-0.02293","0.9463","0.54460","0.94765","-0.01618","0.9779"
"85","2.8333","0.50130","0.19039","0.00616","0.9512","0.48851","0.18051","0.00254","0.9716","0.48618","0.17986","0.00187","0.9643","0.47914","0.18240","0.00418","0.9656","0.51277","0.18032","0.01328","0.9522","0.52051","0.17976","0.01137","0.9699","0.52399","0.18102","0.00995","0.9348","0.47397","0.19171","0.01459","0.9478","0.53330","0.18958","0.02267","0.9260","0.49503","0.21714","0.01074","0.9950","0.51331","0.21534","0.00872","0.9864","0.42983","0.31107","0.00106","0.9612","0.57301","0.31472","0.01076","0.9116","0.42225","0.43640","-0.03025","0.9950","0.58138","0.43856","-0.02431","0.9083","0.43462","0.54386","-0.05327","0.9384","0.57189","0.54625","-0.04773","0.9297","0.42402","0.56467","-0.05942","0.9755","0.58097","0.56509","-0.05373","0.9506","0.41845","0.56077","-0.06030","0.9680","0.58324","0.55921","-0.05456","0.9636","0.43346","0.55936","-0.05442","0.9482","0.57035","0.55962","-0.04746","0.9333","0.46203","0.53596","0.00047","0.9846","0.54241","0.53446","0.00617","0.9390","0.46142","0.72019","-0.01141","0.9676","0.54121","0.71965","-0.00133","0.9646","0.46224","0.92182","0.00218","0.9547","0.54291","0.92087","0.00775","0.9434","0.46137","0.93786","0.01823","0.9559","0.53943","0.93984","0.02649","0.9735","0.46118","0.94739","-0.02125","0.9415","0.54405","0.94886","-0.01471","0.9779"
"86","2.8667","0.50203","0.18446","0.00881","0.9870","0.49194","0.17551","0.00726","0.9681","0.48550","0.17449","0.00592","0.9619","0.47759","0.17817","0.00548","0.9191","0.51325","0.17644","0.01053","0.9594","0.52041","0.17409","0.01281","0.9621","0.52559","0.17886","0.01097","0.9279","0.47198","0.19082","0.01695","0.9552","0.53277","0.18821","0.02121","0.9919","0.49034","0.21569","0.00936","0.9163","0.51451","0.21247","0.01070","0.9528","0.43368","0.30733","0.00490","0.9628","0.57287","0.30587","0.01176","0.9393","0.42296","0.43633","-0.02707","0.9698","0.58228","0.43583","-0.02082","0.9393","0.42936","0.54122","-0.04944","0.9454","0.57472","0.54114","-0.04364","0.9398","0.42124","0.55629","-0.05521","0.9950","0.58058","0.56397","-0.04614","0.9510","0.42391","0.55853","-0.05403","0.9916","0.58420","0.55850","-0.04390","0.9570","0.43337","0.55812","-0.04972","0.9379","0.56518","0.55906","-0.04376","0.9712","0.45947","0.52657","-0.00350","0.9851","0.54266","0.52684","0.00429","0.9069","0.46164","0.71661","-0.00890","0.9476","0.54382","0.71549","0.00048","0.9248","0.46118","0.91966","0.00169","0.9544","0.54321","0.91909","0.00852","0.9378","0.45882","0.93530","0.01869","0.9447","0.54378","0.94026","0.02078","0.9234","0.45777","0.94934","-0.02267","0.9767","0.54154","0.95264","-0.01712","0.9369"
"87","2.9000","0.50153","0.18658","0.00910","0.9510","0.48856","0.17760","0.00592","0.9308","0.48318","0.17158","0.00550","0.9459","0.48009","0.17230","0.00626","0.9689","0.51743","0.17370","0.01276","0.9508","0.51968","0.17214","0.01447","0.9584","0.52643","0.17530","0.01589","0.9807","0.47328","0.18351","0.01647","0.9642","0.53402","0.18193","0.02270","0.9389","0.49345","0.20562","0.00938","0.9726","0.51394","0.20801","0.01030","0.9611","0.42884","0.30074","0.00563","0.9669","0.57258","0.30145","0.01218","0.9050","0.42176","0.43073","-0.02546","0.9357","0.58276","0.43085","-0.01729","0.9584","0.43114","0.53997","-0.04923","0.9810","0.57436","0.54097","-0.03714","0.9337","0.41972","0.56131","-0.05512","0.9200","0.58157","0.56018","-0.04403","0.9257","0.41923","0.55366","-0.05310","0.9240","0.58349","0.55833","-0.04384","0.9476","0.43209","0.55588","-0.04723","0.9691","0.56923","0.55573","-0.03873","0.9367","0.46290","0.52665","-0.00515","0.9544","0.54096","0.52473","0.00369","0.9431","0.46075","0.72098","-0.00899","0.9501","0.54343","0.71170","0.00173","0.9206","0.46295","0.91734","0.00242","0.9609","0.54249","0.91937","0.00728","0.9573","0.46280","0.93694","0.01677","0.9384","0.54309","0.93853","0.02339","0.9506","0.45952","0.94741","-0.02302","0.9313","0.54204","0.94840","-0.01578","0.9529"
"88","2.9333","0.50431","0.18018","0.01315","0.9632","0.48867","0.17253","0.00673","0.9457","0.48562","0.16812","0.00868","0.9660","0.47400","0.16936","0.00697","0.9663","0.51348","0.17299","0.01627","0.9386","0.51997","0.17044","0.01236","0.9405","0.52675","0.17272","0.01177","0.9743","0.46977","0.18081","0.01644","0.9609","0.53313","0.18426","0.02434","0.9590","0.49136","0.20314","0.01247","0.9608","0.51141","0.20920","0.01083","0.9604","0.43172","0.30102","0.00827","0.9950","0.57159","0.30099","0.01352","0.9330","0.42417","0.43053","-0.02357","0.9472","0.58438","0.42928","-0.01336","0.9598","0.43219","0.54048","-0.04541","0.9765","0.57295","0.53725","-0.03710","0.9323","0.42228","0.55990","-0.05255","0.9737","0.57844","0.56008","-0.04203","0.9458","0.41610","0.55378","-0.04907","0.9467","0.58361","0.55478","-0.04575","0.9310","0.43403","0.55637","-0.04368","0.9490","0.56536","0.55033","-0.03791","0.9279","0.46001","0.52064","-0.00142","0.9488","0.54177","0.52051","0.00387","0.9320","0.46549","0.71912","-0.00357","0.9699","0.54476","0.71871","-0.00060","0.9555","0.46086","0.91915","0.00337","0.9681","0.54355","0.92068","0.01116","0.8981","0.45857","0.93928","0.01769","0.9467","0.54063","0.93885","0.02692","0.9521","0.46202","0.94761","-0.02379","0.9737","0.54363","0.94996","-0.01442","0.9582"
"89","2.9667","0.50283","0.18008","0.01021","0.9509","0.48430","0.16953","0.00991","0.9253","0.48499","0.16720","0.00880","0.9852","0.48152","0.16781","0.00563","0.9795","0.51376","0.17115","0.01261","0.9304","0.51679","0.16344","0.01441","0.9348","0.52625","0.17153","0.01513","0.9289","0.47083","0.17961","0.01450","0.9670","0.53320","0.18095","0.02409","0.9642","0.49070","0.20551","0.00992","0.9481","0.50915","0.20807","0.01016","0.9560","0.42948","0.29809","0.00298","0.9426","0.57326","0.29764","0.01562","0.9431","0.42207","0.43041","-0.02215","0.9166","0.58242","0.42602","-0.01395","0.9219","0.43398","0.54257","-0.04393","0.9529","0.57282","0.54208","-0.03698","0.9506","0.42296","0.55961","-0.04969","0.9380","0.58001","0.55982","-0.04040","0.9441","0.41844","0.55477","-0.04947","0.9460","0.58371","0.55581","-0.03963","0.9327","0.43592","0.55209","-0.04140","0.9586","0.56995","0.55296","-0.03716","0.9453","0.46176","0.51877","0.00139","0.9612","0.54268","0.51900","0.00227","0.9235","0.46182","0.71688","-0.00286","0.9403","0.54297","0.71862","0.00613","0.9375","0.46335","0.91630","0.00255","0.9871","0.54452","0.91559","0.00900","0.9497","0.46107","0.93444","0.01976","0.9451","0.54229","0.93723","0.02455","0.9599","0.46224","0.95050","-0.02070","0.9391","0.54238","0.94939","-0.01628","0.9251"
"90","3.0000","0.50140","0.18247","0.00923","0.9059","0.48994","0.17060","0.00818","0.9802","0.48446","0.16757","0.00978","0.9505","0.47697","0.16900","0.00698","0.9366","0.51020","0.16597","0.02079","0.9232","0.52079","0.16675","0.01726","0.9249","0.52859","0.16817","0.01446","0.9155","0.47230","0.17883","0.01606","0.9857","0.52971","0.17898","0.02716","0.9882","0.49492","0.20286","0.01277","0.9548","0.50933","0.20322","0.01088","0.9547","0.43122","0.29958","0.01004","0.9576","0.57449","0.30118","0.01200","0.9512","0.42105","0.42911","-0.02535","0.9820","0.58617","0.43029","-0.01598","0.9814","0.42967","0.53854","-0.03990","0.9866","0.57191","0.53730","-0.03673","0.9291","0.42337","0.55527","-0.04904","0.9279","0.58034","0.55863","-0.04108","0.9514","0.42126","0.55336","-0.04993","0.9640","0.58469","0.55453","-0.04282","0.9347","0.43415","0.55543","-0.04085","0.9464","0.56803","0.55335","-0.03655","0.9289","0.45947","0.52232","-0.00238","0.9503","0.54266","0.51865","0.00630","0.9439","0.46046","0.71630","-0.00178","0.9441","0.54470","0.71547","0.00126","0.9337","0.46149","0.91835","-0.00026","0.9718","0.54242","0.91714","0.00921","0.9205","0.45887","0.93741","0.01593","0.9714","0.54363","0.93679","0.02333","0.9295","0.46424","0.94629","-0.02304","0.9619","0.54275","0.94879","-0.01629","0.9225"
"91","3.0333","0.50344","0.17675","0.00975","0.9768","0.48724","0.16779","0.00692","0.9741","0.47987","0.16935","0.00640","0.9611","0.47744","0.17019","0.00832","0.9780","0.51383","0.16985","0.01435","0.9614","0.52050","0.16764","0.01141","0.9695","0.52556","0.16779","0.01308","0.9533","0.46988","0.17947","0.01593","0.9859","0.53579","0.17834","0.02198","0.9442","0.49072","0.20073","0.01200","0.9769","0.50768","0.20535","0.01192","0.9509","0.43208","0.29684","0.00741","0.9526","0.57318","0.29985","0.01877","0.9182","0.42148","0.43264","-0.02433","0.9273","0.58077","0.42592","-0.01591","0.9446","0.42786","0.54113","-0.04386","0.9356","0.57114","0.54068","-0.03403","0.9499","0.42261","0.55637","-0.05067","0.9759","0.57947","0.55821","-0.04069","0.9625","0.41554","0.55502","-0.04647","0.9597","0.58300","0.55291","-0.04463","0.9392","0.43302","0.55220","-0.04055","0.9744","0.56502","0.55473","-0.03655","0.9471","0.46087","0.51905","-0.00335","0.9456","0.54014","0.51889","0.00258","0.9649","0.45762","0.71651","-0.00510","0.9654","0.54140","0.72034","0.00127","0.9375","0.45831","0.92185","0.00483","0.9512","0.54355","0.92050","0.01410","0.9188","0.45931","0.93886","0.01732","0.9580","0.54044","0.94183","0.02265","0.9579","0.46216","0.95106","-0.02257","0.9462","0.53795","0.94979","-0.01515","0.9566"
"92","3.0667","0.50126","0.17549","0.00860","0.9658","0.48683","0.16751","0.00685","0.9459","0.47962","0.16950","0.00769","0.9157","0.47116","0.16727","0.00569","0.9540","0.51684","0.16941","0.01548","0.9164","0.51764","0.16763","0.01355","0.9396","0.52417","0.16937","0.01659","0.9496","0.47106","0.17835","0.01444","0.9641","0.53347","0.17800","0.02498","0.9747","0.48861","0.20185","0.00941","0.9603","0.51313","0.20423","0.00854","0.9532","0.43258","0.29851","0.00806","0.9339","0.57173","0.29782","0.01067","0.9161","0.42076","0.43037","-0.02273","0.9755","0.58277","0.42808","-0.01324","0.9466","0.42911","0.53892","-0.04482","0.9578","0.57005","0.53838","-0.03596","0.9426","0.42367","0.56089","-0.04938","0.9659","0.58246","0.55975","-0.04319","0.9558","0.41650","0.55738","-0.04867","0.9565","0.58353","0.55187","-0.04253","0.9767","0.43166","0.55336","-0.04498","0.9852","0.56498","0.55627","-0.04043","0.9235","0.45796","0.51860","-0.00937","0.9670","0.53766","0.52007","0.00261","0.9632","0.45827","0.71766","-0.00340","0.9288","0.53957","0.72199","0.00436","0.9397","0.46194","0.91964","0.00093","0.9591","0.53914","0.91825","0.00783","0.9344","0.45733","0.93741","0.01847","0.9379","0.53931","0.93891","0.02334","0.9556","0.46425","0.95089","-0.02116","0.9721","0.53930","0.95043","-0.01892","0.9361"
"93","3.1000","0.49882","0.17838","0.01024","0.9762","0.48487","0.17171","0.00807","0.9578","0.48440","0.16568","0.00877","0.9482","0.47491","0.16608","0.00603","0.9743","0.51280","0.17018","0.01546","0.9155","0.51891","0.16602","0.01434","0.9474","0.52837","0.16824","0.01308","0.9224","0.46977","0.17937","0.01799","0.9684","0.53216","0.17956","0.02563","0.9258","0.49473","0.20157","0.01037","0.9738","0.51352","0.20346","0.01127","0.9732","0.42996","0.29466","0.00867","0.9559","0.56988","0.29904","0.01701","0.9615","0.42095","0.42836","-0.02327","0.9628","0.58177","0.42735","-0.01472","0.9258","0.42544","0.53568","-0.04344","0.9759","0.57050","0.53802","-0.03304","0.9530","0.42197","0.55815","-0.05107","0.9551","0.57882","0.55788","-0.03953","0.9504","0.41717","0.55564","-0.04559","0.9866","0.58527","0.55656","-0.04261","0.9368","0.43326","0.54989","-0.04251","0.9748","0.56537","0.55542","-0.03678","0.9688","0.45489","0.51980","-0.00047","0.9725","0.54190","0.51893","0.00372","0.9388","0.45775","0.72028","-0.00018","0.9900","0.54057","0.71699","0.00442","0.9536","0.45846","0.92046","0.00040","0.9535","0.53924","0.92005","0.00979","0.9279","0.45893","0.94163","0.01505","0.9947","0.53948","0.93917","0.02337","0.9334","0.46069","0.94857","-0.02497","0.9458","0.54277","0.95163","-0.01636","0.9218"
"94","3.1333","0.49418","0.17724","0.01219","0.9680","0.48668","0.16626","0.00777","0.9577","0.47904","0.16711","0.00756","0.9431","0.47424","0.17063","0.00736","0.9671","0.51464","0.16870","0.01664","0.9271","0.51983","0.16133","0.01636","0.9517","0.52224","0.17183","0.01425","0.9493","0.46802","0.17982","0.01852","0.9336","0.53110","0.17754","0.02523","0.9285","0.48979","0.20350","0.00916","0.9652","0.50989","0.20197","0.01301","0.9950","0.42786","0.30204","0.00735","0.9581","0.56962","0.29872","0.01340","0.9819","0.41769","0.42964","-0.02195","0.9802","0.58220","0.43272","-0.01334","0.9552","0.43157","0.53953","-0.04427","0.9549","0.56789","0.53920","-0.03879","0.9203","0.42170","0.56080","-0.04659","0.9737","0.57962","0.55792","-0.04186","0.9218","0.41475","0.55591","-0.04723","0.9422","0.58257","0.55179","-0.03912","0.9422","0.43237","0.55496","-0.04253","0.9780","0.56620","0.55391","-0.03534","0.9489","0.45884","0.51982","-0.00208","0.9938","0.54091","0.51800","0.00062","0.9448","0.45999","0.71743","-0.00573","0.9769","0.54307","0.71863","0.00372","0.9170","0.45996","0.92086","0.00344","0.9416","0.54158","0.91871","0.01008","0.9754","0.45924","0.93760","0.01490","0.9541","0.54319","0.94052","0.02359","0.9375","0.45728","0.95005","-0.02274","0.9919","0.54191","0.95192","-0.01709","0.9217"
"95","3.1667","0.50040","0.17842","0.01067","0.9650","0.48777","0.16894","0.00643","0.9768","0.48520","0.17229","0.01000","0.9413","0.47331","0.16868","0.00845","0.9328","0.51418","0.16923","0.01610","0.9524","0.52183","0.16644","0.01413","0.9419","0.52682","0.16837","0.01454","0.9484","0.47023","0.17889","0.01874","0.9522","0.53264","0.17933","0.02318","0.9512","0.49028","0.20322","0.01380","0.9467","0.51187","0.20421","0.01213","0.9728","0.43052","0.29822","0.00735","0.9531","0.57092","0.30161","0.01367","0.9258","0.42074","0.43007","-0.02515","0.9615","0.58111","0.42624","-0.01539","0.9450","0.43218","0.53997","-0.04511","0.9658","0.56986","0.53844","-0.03836","0.9565","0.42155","0.56082","-0.04965","0.9822","0.57782","0.55750","-0.04276","0.9708","0.41907","0.55355","-0.04716","0.9727","0.58149","0.55236","-0.04009","0.9323","0.43566","0.55652","-0.04132","0.9529","0.56634","0.55172","-0.03790","0.9821","0.45538","0.51747","-0.00283","0.9405","0.54676","0.51910","0.00459","0.9428","0.45915","0.71918","-0.00179","0.9537","0.54426","0.72255","0.00277","0.9021","0.46042","0.91971","0.00125","0.9772","0.54207","0.91893","0.00925","0.9511","0.45944","0.93872","0.01770","0.9589","0.54009","0.94122","0.02345","0.9765","0.46067","0.94705","-0.02315","0.9730","0.54167","0.95002","-0.01501","0.9391"
"96","3.2000","0.49833","0.18049","0.01034","0.9739","0.48647","0.16831","0.00398","0.9316","0.48224","0.16456","0.00872","0.9790","0.47644","0.16963","0.00713","0.9651","0.51310","0.17144","0.01656","0.9258","0.51458","0.16824","0.01356","0.9785","0.52522","0.16890","0.01308","0.9361","0.47088","0.17950","0.01647","0.9492","0.53297","0.17898","0.02375","0.9532","0.48879","0.20494","0.01057","0.9428","0.50761","0.20313","0.01100","0.9354","0.42932","0.29959","0.00886","0.9524","0.57387","0.30101","0.01345","0.9390","0.41959","0.42773","-0.02158","0.9629","0.57976","0.42896","-0.01713","0.9736","0.43044","0.54283","-0.04525","0.9443","0.57201","0.53956","-0.03533","0.9426","0.41986","0.55749","-0.04909","0.9280","0.58349","0.56066","-0.04008","0.9335","0.41734","0.55486","-0.04541","0.9658","0.58196","0.55337","-0.04411","0.9507","0.43292","0.55294","-0.03973","0.9950","0.56647","0.55300","-0.03192","0.9651","0.45889","0.51494","-0.00198","0.9491","0.54091","0.51745","0.00021","0.9157","0.45820","0.72043","-0.00130","0.9446","0.54174","0.71868","0.00556","0.9142","0.46003","0.92010","-0.00031","0.9716","0.53813","0.91453","0.00926","0.9416","0.45879","0.94046","0.01718","0.9588","0.54388","0.93695","0.02288","0.9512","0.45823","0.94650","-0.01807","0.9723","0.54133","0.94909","-0.01537","0.9468"
"97","3.2333","0.50142","0.17817","0.01091","0.9499","0.48952","0.17177","0.00510","0.9540","0.48012","0.16954","0.00764","0.9255","0.47468","0.17023","0.00803","0.9870","0.51586","0.17007","0.01326","0.9175","0.52202","0.16742","0.01450","0.9270","0.52579","0.16909","0.01739","0.9428","0.46989","0.18197","0.02022","0.9344","0.53501","0.18057","0.02329","0.9381","0.48815","0.20280","0.00972","0.9499","0.50666","0.20278","0.01171","0.9663","0.43102","0.29759","0.00458","0.9732","0.57417","0.30249","0.01125","0.9537","0.41958","0.42993","-0.02652","0.9635","0.58274","0.43199","-0.01600","0.9321","0.43323","0.54171","-0.03941","0.9950","0.57342","0.54009","-0.03189","0.9295","0.42157","0.56181","-0.04580","0.9809","0.58290","0.56098","-0.03943","0.9292","0.41880","0.55300","-0.04705","0.9375","0.58312","0.55499","-0.03827","0.9586","0.43566","0.55494","-0.04117","0.9389","0.56981","0.55475","-0.03750","0.9268","0.46089","0.51755","-0.00361","0.9589","0.54101","0.51955","0.00657","0.9371","0.46292","0.71714","-0.00008","0.9313","0.54153","0.71623","0.00474","0.9481","0.46049","0.92270","0.00343","0.9591","0.54237","0.91975","0.01419","0.9341","0.45830","0.93760","0.02008","0.9861","0.54339","0.94031","0.02581","0.9535","0.46091","0.94921","-0.02097","0.9315","0.54132","0.94944","-0.01417","0.9358"
"98","3.2667","0.50083","0.17769","0.01214","0.9544","0.48913","0.16968","0.00612","0.9430","0.48078","0.16735","0.00483","0.9433","0.47546","0.16917","0.00733","0.9925","0.51389","0.16957","0.01170","0.8991","0.52051","0.16810","0.01564","0.9471","0.52709","0.17074","0.01511","0.9483","0.47022","0.18081","0.02115","0.9741","0.53299","0.18178","0.02435","0.9268","0.48943","0.20194","0.01131","0.9660","0.50792","0.20112","0.01155","0.9228","0.43020","0.29876","0.00240","0.9826","0.57382","0.30099","0.01140","0.9680","0.41910","0.43119","-0.02388","0.9760","0.58395","0.43052","-0.01602","0.9239","0.42991","0.54133","-0.04103","0.9950","0.57216","0.53860","-0.03279","0.9221","0.41944","0.56183","-0.04497","0.9642","0.58291","0.56187","-0.04244","0.9612","0.41829","0.55347","-0.04832","0.9543","0.58216","0.55377","-0.03819","0.9406","0.43438","0.55345","-0.04112","0.9621","0.57075","0.55577","-0.03794","0.9131","0.45920","0.51903","-0.00279","0.9689","0.54300","0.51895","0.00530","0.9390","0.46069","0.71656","-0.00334","0.9657","0.54271","0.71583","0.00228","0.9632","0.46167","0.92072","0.00209","0.9699","0.54401","0.92045","0.01322","0.9476","0.45922","0.93947","0.01799","0.9693","0.54341","0.93921","0.02641","0.9720","0.45961","0.95028","-0.02129","0.9244","0.54026","0.95011","-0.01566","0.9421"
